# SHA-256 of each downloaded series. The series digest is the
# SHA-256 of its per-file digests, sorted and joined by newlines,
# so it does not depend on the order files arrive in.
# sha256  files  bytes  series_uid
fb5d32dcf7ccaf508bbe323c1b6e16246133fb86367d4430b28046a1b0ad44bc  1  753168  1.2.276.0.7230010.3.1.3.17436516.732240.1722971528.413297
ca489d8baa7bea94dab19ae519aae5482ae960f4c962196d3a2f93da1ff11ec7  1  1166916  1.2.276.0.7230010.3.1.3.17436516.762572.1722971703.154656
7970d3e20b95b13e1f24d4660be5f31d673cd847c2c1c67b2753fa7a7f54920d  1  1275754  1.2.276.0.7230010.3.1.3.17436516.764899.1722971716.311223
8230c42d40c9522ae47ceea8284bc3f4259a838fd53b78c7cdc0633d0fd6fe11  1  775162  1.2.276.0.7230010.3.1.3.17436516.770676.1722971748.365707
961da67563e6f4caab6df905a16e29031907e09221df50c44088e920592cbd37  1  774890  1.2.276.0.7230010.3.1.3.17436516.776767.1722971780.456449
7398b71ed93cef0c26ce48a7743f001d5efc4ae3789857d7b04611ea81bd70c2  1  802568  1.2.276.0.7230010.3.1.3.17436516.782715.1722971811.894704
6274506bec98cbf44bc867e3587c119b9e010da6f7e6674d5ed131d3cf22a608  1  774480  1.2.276.0.7230010.3.1.3.17436516.789114.1722971844.189738
19da826823516320da1e24ac2403e1e6a10aeef3f029e24a6cbef4ad81f13ba4  1  416752  1.2.276.0.7230010.3.1.3.17436516.794723.1722971873.293539
61a90fc38ae77c1f27624afca6ec58f02bc326128a6032f54440e5541487503a  1  1002816  1.2.276.0.7230010.3.1.3.17436516.796560.1722971881.7633
04260ae2c10360a7cd85f9c83840b7bd9a7b98ea7fba4b145171bb3f8bba3e7a  1  950266  1.2.276.0.7230010.3.1.3.17436516.802131.1722971910.137718
5fd8d920be0dab7b80a0d7735215651d0e65105736876d67fa84391c4f5d1b5a  1  942700  1.2.276.0.7230010.3.1.3.17436516.808082.1722971944.86391
2704d14ffefcb7ea496fd24b73b80e151815f84578b5ec5ec5377db065a5ec74  1  1234468  1.2.276.0.7230010.3.1.3.17436516.809635.1722971954.825409
9838433f645005cc7b35719e6d00ce611715dc9325e3577f6007b490fbd74c24  1  701302  1.2.276.0.7230010.3.1.3.17436516.818700.1722972000.777158
5ed7685566a9c0ed637fd5452338501f7de0dc372ae66f8fcb8a79284359188c  1  491080  1.2.276.0.7230010.3.1.3.17436516.820077.1722972007.367852
73c77ed06c889729b34026bc089d16079a3e4d369f27843f0ede9dad5a327d24  1  382670  1.2.276.0.7230010.3.1.3.17436516.835752.1722972077.281726
6d496de2042229cda94e61c0c97d861cd036cf68692277d4cdd814dbfcd1fb83  1  679866  1.2.276.0.7230010.3.1.3.17436516.844784.1722972097.884969
f698f3464fdba606b35cd282789f44a66e105f50b3514f328d7e35002175492b  1  1091162  1.2.276.0.7230010.3.1.3.17436516.864983.1722972205.261899
e311e96744045289c92beb0b7dfa03324fc1f94ec9a0bac12f76b0dc5144974c  1  1267530  1.2.276.0.7230010.3.1.3.17436516.872886.1722972248.765389
c66b3e70072d02710765a1826f84ef773befe8e3e667ead213f34af0978750dc  1  1031844  1.2.276.0.7230010.3.1.3.17436516.882614.1722972302.295291
99b8225a8e985aec7f1c14cc5f32ea63eb748aa712c58d9c93e3f5e00f23e0b5  1  679914  1.2.276.0.7230010.3.1.3.17436516.907976.1722972447.538391
3e61c25da5d364da7db50aea14a5e2eb8fa12ec15a3c4c4fecf549fe1b048777  1  681694  1.2.276.0.7230010.3.1.3.17436516.931044.1722972575.603617
0e69e2f1331401a3b3e5d3882798c800fcdec94cf35bb7f6adf87252d3a48682  60  6075036  1.3.6.1.4.1.14519.5.2.1.100335238000611885836103354677485994224
57d1250295eb2d5cc5fb77631a73de518ca5b7976cef6f54d85b3cac6a7dc46b  64  7004270  1.3.6.1.4.1.14519.5.2.1.105599325241596724831430028085870107764
54543623db4cbea8f122a6dfd84afea9f4e9403afdf456cea69972ef4aabbf2a  192  19437482  1.3.6.1.4.1.14519.5.2.1.106986031588920443737860077819120710957
8f74b2681a6555aec6ed99a20c152894234d809d36ae62c3e0295afb84dfe8fa  192  19426202  1.3.6.1.4.1.14519.5.2.1.107210456186450897938490296330268027499
23848f629fd3bfdfb4eb8623f2b7ae9bfac648f18c4729e34fc515fd8084d602  192  19446424  1.3.6.1.4.1.14519.5.2.1.107394112669583947872603301355925490760
4a452023578e54606ff4c43413dac88fb36a53621e83679acf13811295a86b33  60  6075970  1.3.6.1.4.1.14519.5.2.1.107812005757264687592936323282051759580
